Hora,Tamanho,Referencia,NumAmostra,Area,Delta,Output1,Output2
11:34:06,48,64,72,66,39,1,0
11:34:07,48,64,44,57,66,1,0
11:34:10,48,64,58,56,46,1,0
11:34:12,48,64,59,61,47,1,0
11:34:15,48,64,95,130,163,1,0
11:34:16,48,64,57,45,34,1,0
11:34:19,48,64,53,58,52,1,0
11:34:22,48,64,60,51,38,1,0
11:34:24,48,64,89,96,58,1,0
11:34:26,48,64,56,43,32,1,0
11:34:29,48,64,62,52,38,1,0
11:38:05,48,64,37,135,91,0,1
11:38:07,48,64,66,65,46,0,1
11:38:09,48,64,62,130,85,0,1
11:38:11,48,64,100,173,219,0,1
11:38:12,48,64,62,135,164,0,1
11:38:14,48,64,36,144,88,0,1
11:38:16,48,64,56,60,46,0,1
11:38:18,48,64,65,65,44,0,1
11:38:36,48,64,68,178,119,0,1
11:38:37,48,64,102,106,54,0,1
11:38:53,48,64,50,55,54,0,1
11:39:03,48,64,65,75,51,0,1
11:39:06,48,64,57,143,225,0,1
11:39:22,48,64,58,62,50,0,1
