Hora,Tamanho,Referencia,NumAmostra,Area,Delta,Output1,Output2
17:56:39,53,25,69,81,68,1,0
17:56:41,53,26,89,87,56,1,0
17:56:52,53,27,68,69,55,1,0
17:56:55,53,28,36,50,80,1,0
17:56:58,53,29,71,72,50,1,0
17:57:04,53,30,71,61,41,1,0
17:57:12,53,31,67,53,34,1,0
17:57:14,53,31,68,44,30,1,0
17:57:17,53,32,73,60,36,1,0
17:57:21,53,33,65,53,36,1,0
17:57:24,53,33,75,49,30,1,0
17:57:30,53,34,68,58,40,1,0
17:57:34,53,35,67,60,44,1,0
17:57:39,53,36,73,54,38,1,0
17:57:41,53,37,73,74,51,1,0
17:57:43,53,38,75,64,38,1,0
17:57:47,53,39,83,75,41,1,0
17:57:49,53,39,71,52,37,1,0
17:57:51,53,40,68,62,41,1,0
17:57:53,53,41,70,53,32,1,0
17:57:56,53,41,75,67,40,1,0
17:57:58,53,42,75,68,39,1,0
17:58:01,53,43,69,56,36,1,0
17:58:04,53,44,69,68,48,1,0
17:58:07,53,44,59,47,36,1,0
17:58:10,53,45,67,60,38,1,0
17:58:12,53,46,67,44,31,1,0
17:58:14,53,46,77,64,38,1,0
17:58:16,53,47,60,56,50,1,0
17:58:18,53,48,76,60,36,1,0
17:58:20,53,49,64,53,37,1,0
17:58:22,53,50,65,52,40,1,0
17:58:25,53,50,66,47,30,1,0
17:58:27,53,51,67,53,39,1,0
17:58:30,53,52,62,53,40,1,0
17:58:33,53,52,68,58,43,1,0
17:58:35,53,53,73,60,36,1,0
17:58:37,53,54,65,55,36,1,0
17:58:39,53,54,59,40,30,1,0
17:58:42,53,55,63,59,46,1,0
17:58:46,53,56,74,58,35,1,0
17:58:48,53,57,63,50,37,1,0
17:58:51,53,57,69,60,37,1,0
17:58:53,53,58,78,75,43,1,0
17:58:59,53,59,71,60,38,1,0
17:59:01,53,59,78,69,39,1,0
17:59:05,53,60,73,61,36,1,0
17:59:11,53,62,51,55,56,1,0
17:59:13,53,63,63,59,44,1,0
17:59:15,53,64,36,63,93,1,0
17:59:18,53,62,66,62,41,1,0
17:59:20,53,62,62,49,36,1,0
17:59:25,53,62,63,64,46,1,0
17:59:42,53,55,69,47,29,1,0
17:59:44,53,55,61,64,56,1,0
17:59:47,53,55,79,86,56,1,0
17:59:50,53,56,56,67,62,1,0
17:59:52,53,56,69,59,39,1,0
17:59:56,53,54,89,104,58,1,0
18:00:59,53,53,53,48,37,1,0
18:01:01,53,53,66,67,47,1,0
18:01:03,53,53,65,59,39,1,0
18:01:05,53,52,50,54,50,1,0
18:01:09,53,52,65,63,53,1,0
18:01:10,53,52,60,51,39,1,0
