Date,Open,High,Low,Close,Adj Close,Volume
2016-04-29,54317.000000,54705.000000,53592.000000,53911.000000,53911.000000,4898400
2016-05-02,53910.000000,54113.000000,53265.000000,53562.000000,53562.000000,3286100
2016-05-03,53557.000000,53557.000000,52260.000000,52260.000000,52260.000000,3892400
2016-05-04,52253.000000,52672.000000,51931.000000,52553.000000,52553.000000,4263800
2016-05-05,52569.000000,53071.000000,51311.000000,51671.000000,51671.000000,3653100
2016-05-06,51671.000000,52159.000000,51204.000000,51718.000000,51718.000000,3296100
2016-05-09,51717.000000,51717.000000,49908.000000,50990.000000,50990.000000,4938400
2016-05-10,50994.000000,53071.000000,50994.000000,53071.000000,53071.000000,4079200
2016-05-11,53072.000000,53976.000000,52736.000000,52764.000000,52764.000000,4350000
2016-05-12,52765.000000,53703.000000,52424.000000,53241.000000,53241.000000,4630400
2016-05-13,53236.000000,53250.000000,51366.000000,51804.000000,51804.000000,4314300
2016-05-16,51803.000000,52305.000000,51585.000000,51803.000000,51803.000000,3529500
2016-05-17,51795.000000,51946.000000,50689.000000,50839.000000,50839.000000,3871100
2016-05-18,50836.000000,51373.000000,50301.000000,50562.000000,50562.000000,4072500
2016-05-19,50556.000000,50556.000000,49588.000000,50133.000000,50133.000000,3905500
2016-05-20,50133.000000,50822.000000,49723.000000,49723.000000,49723.000000,3254500
2016-05-23,49709.000000,49709.000000,48695.000000,49330.000000,49330.000000,3412800
2016-05-24,49330.000000,50002.000000,49153.000000,49345.000000,49345.000000,3138900
2016-05-25,49347.000000,50357.000000,49347.000000,49483.000000,49483.000000,3472600
2016-05-27,49481.000000,49805.000000,48869.000000,49051.000000,49051.000000,2711800
2016-05-30,49051.000000,49203.000000,48799.000000,48964.000000,48964.000000,1169200
2016-05-31,48963.000000,49269.000000,48292.000000,48472.000000,48472.000000,5802800
2016-06-01,48468.000000,49057.000000,48200.000000,49013.000000,49013.000000,3290000
2016-06-02,49008.000000,49906.000000,48781.000000,49887.000000,49887.000000,3525800
2016-06-03,49888.000000,50634.000000,49888.000000,50619.000000,50619.000000,3329400
2016-06-06,50627.000000,50924.000000,50097.000000,50432.000000,50432.000000,3111900
2016-06-07,50432.000000,50641.000000,50005.000000,50488.000000,50488.000000,2958800
2016-06-08,50490.000000,51812.000000,50490.000000,51629.000000,51629.000000,4206400
2016-06-09,51633.000000,51633.000000,50832.000000,51118.000000,51118.000000,3213200
2016-06-10,51117.000000,51117.000000,49421.000000,49422.000000,49422.000000,2977400
2016-06-13,49419.000000,49764.000000,48804.000000,49661.000000,49661.000000,2630500
2016-06-14,49662.000000,49894.000000,48216.000000,48648.000000,48648.000000,3885000
2016-06-15,48649.000000,49415.000000,48324.000000,48915.000000,48915.000000,5009800
2016-06-16,48901.000000,49412.000000,48067.000000,49412.000000,49412.000000,3887200
2016-06-17,49409.000000,50191.000000,49405.000000,49534.000000,49534.000000,4248900
2016-06-20,49539.000000,50782.000000,49539.000000,50329.000000,50329.000000,3487000
2016-06-21,50326.000000,50870.000000,49678.000000,50838.000000,50838.000000,3349200
2016-06-22,50835.000000,51239.000000,50060.000000,50156.000000,50156.000000,3632900
2016-06-23,50161.000000,51673.000000,50161.000000,51560.000000,51560.000000,3166800
2016-06-24,51561.000000,51561.000000,49544.000000,50105.000000,50105.000000,4139100
2016-06-27,50106.000000,50162.000000,48954.000000,49246.000000,49246.000000,3228500
2016-06-28,49252.000000,50301.000000,49252.000000,50007.000000,50007.000000,3406400
2016-06-29,50009.000000,51229.000000,50009.000000,51002.000000,51002.000000,3970100
2016-06-30,51001.000000,51619.000000,50585.000000,51527.000000,51527.000000,4377800
2016-07-01,51540.000000,52346.000000,51411.000000,52233.000000,52233.000000,4116100
2016-07-04,52241.000000,52918.000000,52241.000000,52569.000000,52569.000000,2081800
2016-07-05,52565.000000,52565.000000,51510.000000,51842.000000,51842.000000,3121400
2016-07-06,51842.000000,51909.000000,50825.000000,51902.000000,51902.000000,3277000
2016-07-07,51902.000000,52719.000000,51888.000000,52015.000000,52015.000000,3712200
2016-07-08,52020.000000,53166.000000,52020.000000,53141.000000,53141.000000,2995500
2016-07-11,53143.000000,54021.000000,53143.000000,53960.000000,53960.000000,3206300
2016-07-12,53961.000000,54746.000000,53961.000000,54256.000000,54256.000000,3878700
2016-07-13,54256.000000,54647.000000,53733.000000,54598.000000,54598.000000,4037100
2016-07-14,54601.000000,55634.000000,54601.000000,55481.000000,55481.000000,4408500
