Date,Open,High,Low,Close,Volume
2020-04-20,78989,80106,76943,78973,8874700
2020-04-22,78973,81184,78973,80687,9848900
2020-04-23,80690,81934,78622,79673,10823500
2020-04-24,79667,79667,72041,75331,16529200
2020-04-27,75334,78563,75327,78239,10656900
2020-04-28,78243,81427,78243,81312,12939000
2020-04-29,81313,83598,81313,83171,11719700
2020-04-30,83169,83169,80168,80506,11804600
2020-05-04,80501,80502,77640,78876,8594200
2020-05-05,78887,81066,78886,79471,9154700
2020-05-06,79473,79996,78056,79064,9775900
2020-05-07,79072,80061,78061,78119,13808900
2020-05-08,78152,80557,78152,80263,10734400
2020-05-11,80263,80723,78994,79065,9781900
2020-05-12,79065,80344,77872,77872,10245400
2020-05-13,77877,78911,77152,77772,11575900
2020-05-14,77770,79011,75697,79011,13818900
2020-05-15,79011,79538,77426,77557,11718200
2020-05-18,77576,81420,77571,81194,11533100
2020-05-19,81197,82175,80647,80742,10740100
2020-05-20,80747,82290,80740,81319,9522800
2020-05-21,81320,83309,81317,83027,11395200
2020-05-22,83027,83027,81669,82173,9281200
2020-05-25,82198,85876,82193,85663,8764400
2020-05-26,85668,87333,85396,85469,12030800
2020-05-27,85468,87946,85468,87946,11212000
2020-05-28,87946,88091,86767,86949,10117000
2020-05-29,86951,87410,85384,87403,16550900
2020-06-01,87395,89019,86837,88620,9849400
2020-06-02,88622,91046,88622,91046,11827300
2020-06-03,91048,93710,91048,93002,15137900
2020-06-04,92993,94132,92221,93829,11488000
2020-06-05,93839,97356,93839,94637,13320300
2020-06-08,94640,97693,94635,97645,11096500
2020-06-09,97644,97644,95386,96747,11278800
2020-06-10,96747,97646,94665,94686,11739600
2020-06-12,94677,94703,90811,92795,12785600
2020-06-15,92780,93112,90148,92376,13317500
2020-06-16,92387,95216,92387,93531,12034200
2020-06-17,93531,96611,93531,95547,11134700
2020-06-18,95547,97110,94698,96125,10008500
2020-06-19,96138,97540,95874,96572,13134400
2020-06-22,96572,96870,94869,95336,8264700
2020-06-23,95344,97486,95344,95975,9752700
2020-06-24,95974,95974,93259,94377,9962700
2020-06-25,94382,96260,94152,95983,8697900
2020-06-26,95979,95979,93514,93834,8439100
2020-06-29,93837,95735,93825,95735,8906800
2020-06-30,95728,96257,94806,95056,10144500
2020-07-01,95062,96852,95062,96203,10163300
2020-07-02,96206,97864,96052,96235,10062900
2020-07-03,96237,96765,95803,96765,5351600
2020-07-06,96776,99257,96768,98937,9489400
2020-07-07,98937,98938,97272,97761,8951400
2020-07-08,97765,99973,97765,99770,9142700
2020-07-09,99770,100191,98861,99160,0
2020-07-10,99160,100101,98739,100032,9147200
2020-07-13,100027,100858,98697,98697,10382300
2020-07-14,98699,100632,98289,100440,10019400
2020-07-15,100444,102114,100444,101791,9285600
2020-07-16,101791,101792,100160,100553,8127100
2020-07-17,100554,103017,100554,102888,10429400
2020-07-20,102888,104439,102744,104426,8931800
2020-07-21,104426,105449,103732,104310,11105800
2020-07-22,104312,104980,103277,104290,10833700
2020-07-23,104291,104949,102119,102293,10366600
2020-07-24,102292,102694,100859,102382,9795200
2020-07-27,102381,104585,102381,104477,9622400
2020-07-28,104477,104663,103592,104109,9087100
2020-07-29,104112,105704,104112,105605,9238300
2020-07-30,105605,105607,103920,105009,9591700
2020-07-31,105010,105462,102642,102912,12929300
2020-08-03,102913,103863,102304,102830,10901000
2020-08-04,102826,103012,100005,101216,12029800
2020-08-05,101220,103763,101220,102802,10922100
2020-08-06,102733,104523,102733,104126,9686600
2020-08-07,104116,104126,101957,102776,10337100
2020-08-10,102776,103722,101282,103444,8259500
2020-08-11,103449,104409,102174,102174,9360900
2020-08-12,102176,103116,100698,102118,10114200
2020-08-13,102118,103237,100187,100461,10721300
2020-08-14,100469,101717,100445,101353,8576300
2020-08-17,101348,101689,98513,99595,10816200
2020-08-18,99597,102247,99597,102065,9418700
2020-08-19,102072,102334,100800,100854,10025800
2020-08-20,100853,101749,99131,101468,9405000
2020-08-21,101460,101566,100412,101521,9100200
2020-08-24,101525,102515,101525,102298,7723000
2020-08-25,102293,102708,101623,102118,8170900
2020-08-26,102119,102521,99359,100627,9861200
2020-08-27,100625,101548,99857,100624,7360600
2020-08-28,100631,102347,100631,102143,7665700
2020-08-31,102142,102142,99369,99369,12226100
2020-09-01,99382,102238,99382,102168,9384700
2020-09-02,102168,102824,100872,101911,7557900
2020-09-03,101911,103226,99751,100721,12611000
2020-09-04,100733,101582,98961,101242,11327400
2020-09-08,101239,101239,99373,100050,8479000
2020-09-09,100050,101578,100050,101292,7955600
2020-09-10,101291,101536,98687,98835,8894600
2020-09-11,98839,99435,97758,98363,9107900
2020-09-14,98367,100520,98367,100275,8182100
2020-09-15,100277,100949,99647,100298,9216700
2020-09-16,100299,100663,99663,99676,7139400
2020-09-17,99674,100251,98562,100098,0
2020-09-18,100098,100102,98045,98290,11370300
2020-09-21,98283,98283,95820,96991,9738000
2020-09-22,96995,97684,96390,97294,7281300
2020-09-23,97294,97389,95728,95735,8830700
2020-09-24,95735,97955,95653,97012,9331000
2020-09-25,97011,97012,95632,96999,7351100
2020-09-28,97005,98314,94371,94666,10508900
2020-09-29,94665,95505,93408,93580,8737200
2020-09-30,93586,95340,93584,94603,9454300
2020-10-01,94604,95486,93599,95479,9243500
2020-10-02,95475,95996,93897,94016,8584900
2020-10-05,94019,96414,93984,96089,8616000
2020-10-06,96091,97405,95211,95615,11299600
2020-10-07,95616,96380,94881,95526,9829900
2020-10-08,95530,97938,95530,97920,11163600
2020-10-09,97924,98642,97161,97483,10810500
2020-10-13,97483,98998,97336,98503,7867500
2020-10-14,98502,99571,98501,99334,8891000
2020-10-15,99328,99486,97778,99054,8335200
2020-10-16,99054,99172,98309,98309,7840200
2020-10-19,98310,99917,98310,98658,9929400
2020-10-20,98664,100722,98664,100540,8796000
2020-10-21,100541,101586,100149,100552,8661100
2020-10-22,100553,102020,100457,101918,9556900
2020-10-23,101918,102218,101188,101260,7561100
2020-10-26,101260,101784,99762,101017,8070400
2020-10-27,101017,101660,99414,99606,8672300
2020-10-28,99598,99598,95369,95369,11051600
2020-10-29,95368,96688,93387,96582,12704400
2020-10-30,96579,96579,93559,93952,10643200
2020-11-03,93968,96250,93968,95587,10191800
2020-11-04,95992,98296,95987,97811,10704600
2020-11-05,97873,100922,97872,100774,10455300
2020-11-06,100751,100928,99837,100799,8382800
2020-11-09,100954,105147,100954,103913,17410500
2020-11-10,103516,105758,103453,105351,16665200
2020-11-11,105067,105462,104143,104532,10841000
2020-11-12,104810,105019,102034,102175,10860300
2020-11-13,102509,104707,102509,104512,9772100
2020-11-16,104729,106518,104729,106430,11724300
2020-11-17,106430,107810,105847,107229,10311000
2020-11-18,107246,107467,106217,106483,10337300
2020-11-19,106117,106973,105545,106517,8555700
2020-11-23,106050,107495,106050,107379,9686000
2020-11-24,107378,109956,107361,109786,11934800
2020-11-25,109786,110596,109315,110133,8564700
2020-11-26,110133,110245,109418,110227,6166800
2020-11-27,110229,111603,110161,110575,8790300
2020-11-30,110598,110934,108829,108888,19300000
2020-12-01,108897,111840,108897,111335,11324800
2020-12-02,111402,112315,110579,111814,9814300
2020-12-03,111874,113377,111874,112919,11474200
2020-12-04,112294,113864,112294,113682,8892900
2020-12-07,113751,114531,112629,113625,9633900
2020-12-08,113590,114381,112820,113571,8810900
2020-12-09,113799,114020,112567,112722,8431100
2020-12-10,113002,115262,112732,114992,11803600
2020-12-11,115128,115527,113949,115323,8372300
2020-12-14,115137,115740,114431,114975,8190900
2020-12-15,114613,116390,114613,116146,8195100
2020-12-16,116149,118178,115496,117947,9808100
2020-12-17,117864,119027,117856,118157,7701400
2020-12-18,118395,119370,117639,117679,8636000
2020-12-21,118021,118021,114730,116016,10347100
2020-12-22,115825,116903,115648,116348,6947900
2020-12-23,116636,118311,116636,117857,6483300
2020-12-28,117806,119213,117805,119051,7171700
2020-12-29,119130,119861,118750,119475,6769700
2020-12-30,119410,120150,118919,119306,8235700
2021-01-04,119024,120354,118062,118558,8741400
2021-01-05,118835,119790,116756,119223,9257100
2021-01-06,119377,120924,118917,119851,11638200
2021-01-07,119103,121983,119101,121956,11774800
2021-01-08,122387,125324,122386,125077,11085800
2021-01-11,125075,125075,122506,122807,9537600
2021-01-12,123255,124584,123227,123998,8949000
2021-01-13,123996,124032,121016,122040,10291500
2021-01-14,121947,123896,121947,123481,8974400
2021-01-15,123472,123472,120374,120502,9387600
2021-01-18,120351,122586,120351,121242,7223100
2021-01-19,121250,122120,119257,120673,7886000
2021-01-20,120645,121449,118740,119708,7947300
2021-01-21,119628,120243,117785,118443,8573900
2021-01-22,118318,118318,116109,117172,9373100
2021-01-26,117381,119167,116109,116464,10681400
2021-01-27,116463,117840,114887,115882,12380400
2021-01-28,115882,119314,115734,119314,12065900
2021-01-29,118880,118880,115299,116007,10965200
2021-02-01,115093,117862,115093,117365,8716500
2021-02-02,117520,119805,117519,118234,11625900
2021-02-03,118235,120210,118234,119725,8704300
2021-02-04,119728,120560,118918,119261,8100700
2021-02-05,119261,121117,119261,119925,8208400
